NO,NAMA KELUHAN,GEJALA PENYERTA / PEMBEDA,TINGKAT URGENSI,REKOMENDASI TINDAKAN,REKOMENDASI PRODUK/OBAT,KONDISI BAHAYA / RED FLAG,WAJIB DISCLAIMER,CATATAN KHUSUS
98,Pembengkakan Pipi setelah Cabut Gigi (Normal),Bengkak dan memar ringan pada pipi dalam 1-3 hari setelah cabut gigi; sedikit nyeri yang terkontrol dengan obat; area bekas cabutan terisi bekuan darah merah gelap; tidak ada demam; tidak ada nanah,Ringan,1. Kompres dingin (es dibungkus kain) pada pipi bagian luar: 20 menit ON â€” 20 menit OFF selama 24 jam pertama; 2. Jangan menghisap area bekas cabutan; 3. Hindari makan makanan keras atau panas dalam 24 jam; 4. Hindari merokok minimal 72 jam; 5. Tidur dengan kepala lebih tinggi; 6. Kumur air garam hangat mulai hari ke-2 (bukan hari pertama) dengan sangat perlahan,"Paracetamol 500mg (maks 3x/hari) atau Ibuprofen 400mg setelah makan (maks 3x/hari, maks 3 hari); antibiotik hanya jika diresepkan dokter gigi",Jika demam >38Â°C; bengkak bertambah besar setelah hari ke-3; nanah keluar dari luka; nyeri semakin memburuk setelah hari ke-3 (bukan membaik); atau lubang bekas cabutan tampak kosong dan berbau â†’ kemungkinan dry socket atau infeksi â†’ kembali ke dokter gigi,YA,Perokok: risiko dry socket jauh lebih tinggi â€” wajib tidak merokok minimal 72 jam; Pengguna pengencer darah: perdarahan lebih lama dari biasa â€” informasikan ke dokter gigi sebelum pencabutan; Ibu hamil: hindari Ibuprofen
99,Gigi Berlubang pada Anak (Karies Anak),Anak mengeluh ngilu atau sakit saat makan manis/dingin; terlihat lubang atau bercak cokelat/hitam pada gigi; anak menjadi rewel saat makan; kadang bau mulut; belum ada bengkak atau demam,Sedang,1. Bawa anak ke dokter gigi spesialis anak (drg KGA) atau dokter gigi umum dalam 3-5 hari; 2. Sementara: hindari makanan/minuman manis dan dingin; 3. Sikat gigi anak 2x/hari dengan pasta berfluorida (seukuran biji beras untuk <3 th; seukuran kacang polong untuk 3-6 th); 4. Dampingi dan bantu anak saat menyikat gigi; 5. Tidak perlu menunggu gigi susu tanggal sendiri â€” gigi susu berlubang tetap harus dirawat karena memengaruhi pertumbuhan gigi permanen,Pasta gigi berfluorida anak (min 1000 ppm); jika nyeri: Paracetamol sirup sesuai dosis berat badan (10-15 mg/kgBB) â€” JANGAN berikan Ibuprofen untuk anak <6 bulan,Jika anak demam; ada bengkak pada gusi atau pipi; anak menangis kesakitan dan tidak mau makan sama sekali â†’ BAHAYA â€” segera bawa ke dokter gigi atau IGD,YA,Gigi susu berlubang yang dibiarkan dapat menyebabkan infeksi yang memengaruhi benih gigi permanen di bawahnya; gigi susu juga penting untuk bicara dan mengunyah â€” jangan abaikan; hindari kebiasaan minum susu botol sambil tidur
100,Maloklusi / Gigi Tidak Rata (Pertanyaan Kawat Gigi),Pasien atau orang tua bertanya tentang gigi berjejal; gigi tonggos; gigitan tidak pas; kapan harus pasang kawat gigi; tidak ada keluhan nyeri atau infeksi,Ringan,"Kondisi gigi tidak rata (maloklusi) adalah kondisi di mana posisi gigi atas dan bawah tidak bertemu dengan baik saat menggigit. Berikut panduan umum: 1. Waktu ideal pemasangan kawat gigi pada anak adalah usia 11-14 tahun (setelah sebagian besar gigi permanen tumbuh); 2. Orang dewasa tetap bisa menggunakan kawat gigi tanpa batasan usia; 3. Jenis pilihan: kawat cekat konvensional (metal/ceramic), kawat lepasan, atau aligner transparan (Invisalign/Zenyum) â€” konsultasikan pilihan dengan dokter gigi ortodonti (Sp.Ort); 4. Sebelum pemasangan kawat, dokter gigi akan melakukan pemeriksaan lengkap termasuk foto rontgen panoramik; 5. Periksakan ke dokter gigi untuk mendapatkan rencana perawatan yang tepat",Tidak ada rekomendasi obat untuk konsultasi ortodonti,Tidak ada red flag untuk pertanyaan umum tentang kawat gigi,YA,"Anak <8 tahun dengan masalah gigitan parah (tongue thrust, open bite, cross bite) dapat dirujuk lebih awal ke ortodonti untuk perawatan preventif; Pasien dengan kondisi medis tertentu (osteoporosis, penyakit gusi aktif) perlu evaluasi terlebih dahulu sebelum memulai perawatan ortodonti"
101, Nyeri Gigi,Ngilu singkat kurang dari 30 detik saat minum dingin/panas; ngilu hilang ketika rangsang dihilangkan; tidak ada bengkak ,Ringan,1. Hindari makanan/minuman sangat panas atau dingin; 2. Gunakan pasta gigi sensitif 2x/hari; 3. Sikat gigi dengan bulu sikat lembut; 4. Kumur menggunakan air hangat,Pasta gigi sensitif (misal Sensodyne/Pepsodent Sensitive) — aplikasikan 2x/hari; Paracetamol 500mg bila nyeri mengganggu (max 3x/hari),"Jika ngilu berlangsung selama lebih dari 30 detik setelah rangsang dihilangkan → potensi pulpitis/peradangan pada saraf gigi, rujuk ke dokter gigi terdekat",YA,Anak <12 th: gunakan pasta gigi anak sensitif; Lansia: periksa apakah ada terjadi penurunan gusi
102,Nyeri Gigi,Nyeri berdenyut terus-menerus; tidak hilang sendiri; bertambah parah pada malam hari; gigi terasa 'lebih tinggi' saat gigit,Sedang,1. Jangan gigitkan gigi yang sakit; 2. Kompres menggunakan air dingin pada pipi bagian luar selama 15 mnt; 3. Minum obat pereda nyeri  (resep dokter); 4. Segera berkunjung ke dokter gigi dalam 1-2 hari jika gejala tidak membaik,Paracetamol 500mg (max 3x/hari) sebagai  pereda sementara bukan sebagai pengobatan (dikonsumsi hanya saat nyeri),"Jika muncul bengkak pada gusi/pipi, demam >38°C, atau sulit membuka mulut  menunjukkan tanda bahaya maka segera rujuk ke dokter gigi",YA,"Ibu hamil: hindari Ibuprofen, gunakan Paracetamol saja; Lansia: waspadai interaksi obat"
103,Nyeri Gigi,Bengkak pada gusi/pipi; nyeri hebat berdenyut; demam >38°C; sulit buka mulut (trismus); gigi goyang,Bahaya,STOP — Jangan rekomendasikan obat apapun,-,"Segera pergi ke IGD, puskesmas, atau dokter gigi jika ada bengkak pada gigi/gusi yang makin besar, terasa sangat sakit, atau sampai menjalar ke leher. Ini bisa jadi infeksi serius yang berbahaya. Jika sampai sulit menelan atau terasa sesak napas, segera hubungi 119 atau cari bantuan darurat.",SELALU,"Anak-anak dan lansia lebih berisiko mengalami infeksi berat. Jadi kalau ada tanda infeksi, sebaiknya segera dibawa ke fasilitas kesehatan."
104,Nyeri Gigi,Nyeri tajam saat menggigit/menekan; gigi pernah ditambal atau dilakukan perawatan saraf; tidak ada bengkak,Sedang,1. Hindari menggigit pada sisi gigi yang sakit; 2. Hindari makanan keras dan lengket; 3. Buat jadwal ke dokter gigi dalam 2-3 hari,Paracetamol 500mg (max 3x/hari) sebagai  pereda sementara bukan sebagai pengobatan (dikonsumsi hanya saat nyeri),"Jika mulai muncul bengkak atau demam, itu sudah termasuk tanda bahaya, maka segera bawa ke dokter atau fasilitas kesehatan.",YA,-
105,Gigi Berlubang,Terlihat atau terasa lubang pada gigi; ngilu ringan saat makan manis/asam; tidak ada nyeri spontan,Ringan,1. Sikat gigi 2x/hari (setelah sarapan pagi hari dan malam sebelum tidur) dengan pasta berfluorida selama minmal 2 menit; 2. Gunakan benang gigi (dental floss) setelah sikat gigi; 3. Hindari makanan manis/lengket berlebihan; 4. Rencanakan kunjungan dokter gigi rutin setiap 6 bulan,Pasta gigi berfluorida (misal Pepsodent/Colgate) selama 2x/hari; Obat kumur fluorida jika direkomendasikan dokter,"Jika muncul nyeri spontan tanpa rangsang atau bengkak, segera rujuk ke dokter gigi ",YA,Anak <12 th: dampingi sikat gigi; Ibu hamil: segera periksa ke dokter gigi karena hormon meningkatkan risiko gigi berlubang dan peradangan gusi
106,Gigi Berlubang,Lubang besar terlihat jelas; makanan sering tersangkut; ngilu sedang saat makan; kadang nyeri spontan singkat,Sedang,Segera periksa ke dokter gigi untuk dilakukan tindakan  tambalan gigi,Paracetamol 500mg bila nyeri (max 3x/hari) hanya sementara; Eugenol gel (minyak cengkeh) dapat dioleskan di rongga gigi sebagai pertolongan pertama,Jika nyeri berdenyut terus-menerus pada malam hari dan muncul bengkak termasuk tanda bahaya,YA,-
107,Gusi Berdarah,Gusi berdarah saat sikat gigi; tidak ada nyeri; gusi tampak kemerahan di tepi; tidak ada bengkak,Ringan,"1. Sikat gigi dengan teknik yang benar (bulu lembut, gerakan melingkar); 2. Gunakan dental floss 1x/hari; 3. Gunakan obat kumur antibakteri; 4. Perbanyak konsumsi vitamin C","Obat kumur yang mengandung Chlorhexidine 0,12% (kumur 30 detik, 2x/hari, max 2 minggu); Vitamin C","Jika gusi berdarah spontan (tanpa sikat gigi), disertai demam, atau bernanah , segera periksa ke dokter gigi",YA,Ibu hamil: gusi berdarah saat hamil (pregnancy gingivitis) umum terjadi tetapi tetap periksakan ke dokter gigi; Pengguna pengencer darah: konsultasi dokter
108,Gusi Berdarah,Gusi berdarah spontan; disertai gusi bengkak dan bernanah; bau mulut hebat; gigi terasa goyang,Bahaya,STOP — Jangan rekomendasikan apapun,-,"Segera periksa ke dokter gigi atau puskesmas, karena kondisi ini bisa jadi infeksi gusi yang parah dengan nanah. Jika tidak ditangani, gigi bisa lepas dan infeksinya bisa menyebar ke bagian tubuh lain.",SELALU,Penderita diabetes: infeksi gusi lebih berat dan lambat sembuh. Segera periksa ke dokter gigi 
109,Gusi Bengkak,Gusi bengkak lokal di sekitar 1 gigi; nyeri tekan; tidak ada demam; tidak ada nanah,Sedang,1. Kompres dingin pada pipi bagian luar selama 15 mnt (3x/hari); 2. Kumur air garam hangat (1/2 sdt garam + segelas air) 3x/hari; 3. Hindari menggigit pada area tersebut; 4. Kunjungi dokter gigi dalam 1-2 hari,Paracetamol 500mg (max 3x/hari) sebagai  pereda sementara bukan sebagai pengobatan (dikonsumsi hanya saat nyeri),"Jika bengkak meluas ke pipi/leher, demam >38°C, atau sulit menelan → BAHAYA, rujuk ke dokter gigi",YA,Ibu hamil: hindari Ibuprofen; Anak <12 th: dosis Paracetamol sesuai berat badan (10-15 mg/kg BB)
110,Gusi Bengkak,Bengkak seluruh gusi merata; disertai demam tinggi; sulit membuka mulut atau menelan; pembengkakan sampai leher/rahang,Bahaya,"Segera ke IGD, karena kondisi ini bisa berupa infeksi berat di area mulut atau wajah yang bisa mengganggu pernapasan. Jika tidak cepat ditangani, bisa berbahaya dan mengancam nyawa dalam waktu singkat",-,"Segera ke IGD, karena kondisi ini bisa berupa infeksi berat di area mulut atau wajah yang bisa mengganggu pernapasan. Jika tidak cepat ditangani, bisa berbahaya dan mengancam nyawa dalam waktu singkat.",SELALU,Semua kelompok umur berisiko — jangan tunda penanganan
111,Sariawan,"Luka bulat/oval kecil (<1 cm) pada bagian dalam pipi/lidah/bibir; tepi merah, tengah putih/kuning; nyeri saat makan; muncul 1-3 biji",Ringan,"1. Hindari makanan pedas, asam, dan keras; 2. Kumur air garam hangat 3x/hari; 3. Jaga kebersihan mulut; 4. Perbanyak konsumsi buah dan sayur (vit B12, zat besi, folat)"," Gel Triamcinolone Acetonide 0,1% (oleskan tipis 2-3x/hari setelah makan); atau Bonjela gel; Vitamin B-kompleks 1x/hari; Obat kumur Betadine 2x/hari","Jika luka >2 cm, tidak sembuh >2 minggu, atau muncul di banyak lokasi sekaligus → rujuk dokter gigi",YA,"Anak <12 th: hindari gel Triamcinolone, gunakan madu sebagai alternatif; Ibu hamil: konsultasi dokter sebelum obat apapun"
112,Sariawan,"Luka besar (>1 cm) atau banyak; tidak sembuh >3 minggu; atau disertai demam, sariawan di tenggorokan, dan ruam kulit",Sedang,1. Jangan mengobati sendiri; 2. Catat sudah berapa lama dan lokasi luka; 3. Segera periksakan ke dokter umum atau dokter gigi,"Gel Triamcinolone 0,1% hanya sebagai pertolongan pertama sementara menunggu jadwal dokter","Jika disertai demam tinggi, nyeri tenggorokan hebat, dan tidak bisa menelan → BAHAYA, rujuk segera ",YA,Lansia & pasien immunocompromised: sariawan berulang bisa tanda penyakit sistemik — wajib periksa
113,"
Cara Sikat Gigi yang Benar",Pertanyaan umum tentang cara sikat gigi; tidak ada keluhan spesifik,Ringan,"Berikut prosedur menyikat gigi yang baik dan benar: gunakan sikat gigi yang lembut dan pasta gigi sebesar biji jagung;
1. Letakkan sikat gigi menghadap ke gusi dengan sudut sekitar 45°. Posisi bulu sikat sebagian menyentuh gusi dan sebagian menyentuh gigi; 2. Gerakkan sikat secara kecil-kecil dan lembut. Gerakannya seperti getaran pendek maju-mundur, jangan terlalu keras; 3. Fokus membersihkan tepi gusi dan sela gigi. Lakukan sekitar 10–15 getaran pada setiap bagian gigi; 4. Setelah itu, sapukan sikat dari gusi ke arah ujung gigi. Untuk rahang atas gerakkan ke bawah, sedangkan rahang bawah gerakkan ke atas; 5. Ulangi pada seluruh permukaan gigi. Bersihkan bagian luar, bagian dalam, dan permukaan kunyah gigi; 6. Untuk gigi depan bagian dalam, gunakan ujung sikat secara vertikal. Gerakkan perlahan dari gusi ke arah ujung gigi; 7. Sikat gigi selama kurang lebih 2 menit dan dilakukan 2 kali sehari, terutama setelah sarapan dan sebelum tidur.",Pasta gigi berfluorida 1000-1500 ppm (dewasa); setelah sikat gigi gunakan dental floss 1x/hari malam hari dan obat kumur tanpa alkohol jika diperlukan,Tidak ada red flag untuk pertanyaan umum,YA,"Anak <6 th: pasta gigi seukuran biji beras, didampingi orang tua; Anak 6-12 th: seukuran kacang polong; Pengguna kawat gigi: gunakan sikat interdental/proxy brush"
114,Noda gigi (Stains),"Permukaan gigi berwarna cokelat atau hitam (bukan karena lubang); biasanya akibat kopi, teh, atau rokok; permukaan terasa kasar",Ringan,1. Sikat gigi rutin 2x/hari; 2. Kurangi konsumsi minuman dan rokok sebagai pemicu noda; 3. Lakukan prosedur scaling & polishing di dokter gigi,"Pemutih gigi atau bleaching gigi dapat dilakukan di dokter gigi (menggunakan bahan pemutih dengan konsentrasi lebih tinggi sehingga hasilnya lebih cepat terlihat namun mahal); maupun dilakukan sendiri di rumah dengan pengawasan dokter gigi (direkomendasikan karena lebih aman dibanding membeli produk sembarangan); atau menggunakan produk yang sering digunakan seperti Whitening toothpaste (pasta gigi yang mengandung bahan pemutih) Whitening strips, atau gel pemutih namun umumnya hanya membantu menghilangkan noda di permukaan gigi, bukan memutihkan secara drastis.",Jika noda disertai rasa ngilu tajam atau terdapat lubang di bawah noda tersebut,YA,"Anak di bawah 18 tahun; Ibu hamil tanpa konsultasi dokter; Orang dengan gigi sensitif berat; Ada karies, radang gusi, atau gigi berlubang; Memiliki tambalan, crown, atau veneer di gigi depan karena warna restorasi tidak ikut berubah putih"
115,Lidah Putih / Kotor,Terdapat lapisan putih/abu-abu pada permukaan lidah; bau mulut; terasa pahit atau asam di mulut,Ringan,1. Gunakan pembersih lidah (tongue scraper) setiap pagi; 2. Sikat lidah perlahan dari belakang ke depan; 3. Minum air putih 8 gelas/hari,Obat kumur tanpa alkohol (non-alcohol mouthwash),Lapisan putih tidak bisa dikerok atau terdapat luka (sariawan) yang tidak sembuh >2 minggu,YA,"Bisa disebabkan kurang hidrasi, merokok, atau kebersihan lidah yang buruk"
116,Sisa akar gigi,Gigi sudah habis/patah tinggal akar; kadang muncul daging tumbuh (polip) di tengahnya; sering terselip makanan,Sedang,1. Jaga kebersihan area akar agar tidak infeksi; 2. Jangan menusuk-nusuk akar dengan tusuk gigi; 3. Rencanakan pencabutan di drg,"Obat kumur antiseptik (Chlorhexidine 0,12%) 2x/hari untuk mencegah infeksi",Muncul benjolan bernanah (abses) pada gusi di bawah akar gigi tersebut,YA,Akar gigi yang dibiarkan bisa menjadi sumber infeksi (fokal infeksi) bagi organ tubuh lain
117,Gigi Anak Menghitam / Keropos,Gigi depan atas anak tampak cokelat/hitam; gigi tampak rapuh; sering terjadi pada anak yang minum susu botol saat tidur,Sedang,1. Hentikan kebiasaan minum susu botol/manis menjelang tidur; 2. Bersihkan gigi anak dengan kain kasa atau sikat gigi bayi setelah minum susu; 3. Konsultasi ke dokter gigi spesialis anak (KGA),"Pasta gigi mengandung fluoride minimal 1000 ppm (gunakan seukuran biji beras untuk <3 thn, kacang polong untuk 3-6 thn)","Jika anak mulai mengeluh sakit saat makan, ada bengkak kecil seperti jerawat di gusi (abses), atau anak jadi rewel/tidak mau makan",YA,"Early Childhood Caries (ECC) — jika tidak dirawat, gigi permanen di bawahnya bisa terganggu"
118,Gusi Menurun (Resesi Gusi),Akar gigi terlihat (gigi tampak lebih panjang); ngilu saat terkena udara atau air dingin; tidak ada bengkak atau nanah; biasanya pada satu atau beberapa gigi,Ringan,1. Gunakan sikat gigi berbulu sangat lembut (ultra soft); 2. Gunakan teknik menyikat gigi yang tidak terlalu keras (gerakan memutar); 3. Gunakan pasta gigi sensitif,asta gigi sensitif (misal Sensodyne); Aplikasi topical fluoride di dokter gigi,Jika gigi mulai goyang atau terdapat radang hebat pada tepi gusi yang turun,YA,Lansia: lebih sering terjadi karena faktor usia dan riwayat penyakit periodontal
119,Nyeri Pasca Cabut Gigi (Dry Socket),Nyeri hebat muncul 3-5 hari setelah cabut gigi; lubang bekas cabutan tampak kosong (tidak ada bekuan darah); bau mulut menyengat; nyeri menjalar ke telinga,Sedang,1. Jangan menghisap area bekas cabutan; 2. Hindari merokok; 3. Kumur air garam hangat dengan sangat perlahan; 4. Segera kembali ke dokter gigi yang mencabut gigi Anda,Paracetamol 500mg (max 3x/hari) atau Ibuprofen 400mg; Alvogyl (hanya diaplikasikan oleh dokter gigi),"Jika muncul nanah, demam tinggi, atau bengkak besar di area bekas cabutan",YA,Perokok memiliki risiko jauh lebih tinggi terkena Dry Socket
120,Menggeretakkan Gigi (Bruxism),Gigi tampak rata atau pendek; sering nyeri rahang atau sakit kepala saat bangun tidur; suara gesekan gigi terdengar saat tidur,Sedang,1. Lakukan relaksasi rahang sebelum tidur; 2. Hindari mengunyah benda keras (es batu/pensil); 3. Kelola stres; 4. Konsultasi dokter gigi untuk pembuatan night guard,Paracetamol 500mg jika ada nyeri otot rahang (max 3x/hari),Jika rahang terasa terkunci atau sangat nyeri saat membuka mulut,YA,Sering dipicu oleh stres; Pasien mungkin tidak sadar melakukannya saat tidur
